portal_id	gwas_source_category	legacy_phenotype_id	phenotype_name	legacy_trait_group	trait_group	trait_type	pigean_id
PORTAL:0000001	portal	ARHI	Age-related hearing impairment	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000002	portal	AgingGIP1	Aging-GIP1 principal component	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000003	portal	AgingGIP1AdjSocioEcon	Aging-GIP1 principal component adj socioeconomic status	AGING_AND_LONGEVITY	aging	adjusted	
PORTAL:0000004	portal	CHIP	Clonal haematopoiesis of indeterminate potential (with or without mosaic chromosomal alteration)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000005	portal	CHIP_ASXL1	Clonal haematopoiesis of indeterminate potential (ASXL1 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000006	portal	CHIP_DNMT3A	Clonal haematopoiesis of indeterminate potential (DNMT3A mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000007	portal	CHIP_JAK2	Clonal haematopoiesis of indeterminate potential (JAK2 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000008	portal	CHIP_PPM1D	Clonal haematopoiesis of indeterminate potential (PPM1D mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000009	portal	CHIP_SF3B1	Clonal haematopoiesis of indeterminate potential (SF3B1 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000010	portal	CHIP_SRSF2	Clonal haematopoiesis of indeterminate potential (SRSF2 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000011	portal	CHIP_TET2	Clonal haematopoiesis of indeterminate potential (TET2 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000012	portal	CHIP_TP53	Clonal haematopoiesis of indeterminate potential (TP53 mutation)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000013	portal	CHIPwithoutmCA	Clonal haematopoiesis of indeterminate potential (without mosaic chromosomal alteration)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000014	portal	DNAme_PAI1	DNA methylation-estimated plasminogen activator inhibitor-1 levels	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000015	portal	EAA_Grim	DNA methylation GrimAge acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000016	portal	EAA_Hannum	DNA methylation Hannum age acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000017	portal	EAA_Intrinsic	Intrinsic epigenetic age acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000018	portal	EAA_Pheno	DNA methylation PhenoAge acceleration	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000019	portal	ExtremeLongevity_90thPerc	Longevity (age >90th survival percentile)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000020	portal	ExtremeLongevity_99thPerc	Longevity (age >99th survival percentile)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000021	portal	FrailtyIndex	Frailty index	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000022	portal	FriedFrailtyScore	Fried frailty score	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000023	portal	Healthspan	Healthspan	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000024	portal	LTL	Leukocyte telomere length	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000025	portal	MaternalLongevity_AtDeath	Parental longevity (mother's age at death)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000026	portal	MaternalLongevity_Attained	Parental longevity (mother's attained age)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000027	portal	ParentalExtremeLongevity_10pct	Parental longevity (both parents in top 10%)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000028	portal	ParentalExtremeLongevity_95yrs	Parental extreme longevity (95 years and older)	AGING_AND_LONGEVITY	aging	subgroup	
PORTAL:0000029	portal	ParentalLifespan	Parental lifespan	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000030	portal	ParentalLongevity_AtDeath	Parental longevity (combined parental age at death)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000031	portal	ParentalLongevity_Attained	Parental longevity (combined parental attained age, Martingale residuals)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000032	portal	PaternalLongevity_AtDeath	Parental longevity (father's age at death)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000033	portal	PaternalLongevity_Attained	Parental longevity (father's attained age)	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000034	portal	PerceivedAge	Perceived age	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000035	portal	SRH	Self-rated health	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000036	portal	TL	Telomere length	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000037	portal	mCAA	Mosaic chromosomal alteration of the autosomes	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000038	portal	mCAX	Mosaic chromosomal alteration of the X chromosome	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000039	portal	mCAY	Mosaic chromosomal alteration of the Y chromosome	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000040	portal	mvAging	Multi-variate aging	AGING_AND_LONGEVITY	aging	phenotype	
PORTAL:0000041	portal	AFR	Arm fat ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000042	portal	ASAT	Abdominal subcutaneous adipose tissue volume	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000043	portal	ASATadjBMIHeight	ASAT adjusted for BMI and height	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000044	portal	ASATtoGFAT	ASAT to GFAT ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000045	portal	AbFR	Abdominal fat ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000046	portal	BFP	Body fat percentage	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000047	portal	BMI	Body mass index (BMI)	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000048	portal	BMI1_5yrs	Body mass index (BMI) at 1.5 years	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000049	portal	BMI1yr	Body mass index (BMI) at 1 year	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000050	portal	BMI2yrs	Body mass index (BMI) at 2 years	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000051	portal	BMI3mons	Body mass index (BMI) at 3 months	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000052	portal	BMI3yrs	Body mass index (BMI) at 3 years	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000053	portal	BMI5yrs	Body mass index (BMI) at 5 years	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000054	portal	BMI6mons	Body mass index (BMI) at 6 months	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000055	portal	BMI6wks	Body mass index (BMI) at 6 weeks	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000056	portal	BMI7yrs	Body mass index (BMI) at 7 years	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000057	portal	BMI8mons	Body mass index (BMI) at 8 months	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000058	portal	BMI8yrs	Body mass index (BMI) at 8 years	ANTHROPOMETRIC	anthropometric	subgroup	
PORTAL:0000059	portal	BMIadjSMK	BMI adj smoking status	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000060	portal	BMIbirth	Body mass index (BMI) at birth	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000061	portal	BirthHeadCir	Head circumference at birth	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000062	portal	ChildObesity	Childhood obesity	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000063	portal	GFAT	Gluteofemoral adipose tissue volume	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000064	portal	GFATadjBMIHeight	GFAT adjusted for BMI and height	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000065	portal	HEIGHT	Height	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000066	portal	HIPC	Hip circumference	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000067	portal	HIPCadjBMI	Hip circumference adj BMI	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000068	portal	InfantHeadCir	Head circumference at 6-30 months	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000069	portal	LFR	Leg fat ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000070	portal	Obesity	Obesity	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000071	portal	PAT	Pericardial adipose tissue volume	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000072	portal	SAT	Subcutaneous adipose tissue volume	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000073	portal	SCOOPvSTILTS	Obese vs thin	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000074	portal	SCOOPvUKHLS	Obese vs controls	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000075	portal	SITAR_PG1	Take-off phase of the pubertal growth spurt (height at age 10 in girls and 12 in boys)	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000076	portal	SITAR_PG2	Total pubertal growth (ages 8-adult)	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000077	portal	SITAR_PG3	Late pubertal growth (ages 14-adult)	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000078	portal	SITAR_PG4	SITAR longitudinal modeling a-size	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000079	portal	SITAR_PG5	SITAR longitudinal modeling b-timing	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000080	portal	SITAR_PG6	SITAR longitudinal modeling c-intensity	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000081	portal	STILTSvUKHLS	Controls vs thin	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000082	portal	TFR	Trunk fat ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000083	portal	VAT	Visceral adipose tissue volume	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000084	portal	VATadjBMIHeight	VAT adjusted for BMI and height	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000085	portal	VATtoASAT	VAT to ASAT ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000086	portal	VATtoGFAT	VAT to GFAT ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000087	portal	WAIST	Waist circumference	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000088	portal	WAISTadjBMI	Waist circumference adj BMI	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000089	portal	WCadjBMISMK	Waist circumference adj BMI-smoking status	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000090	portal	WEIGHT	Weight	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000091	portal	WHR	Waist-hip ratio	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000092	portal	WHRadjBMI	Waist-hip ratio adj BMI	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000093	portal	WHRadjBMISMK	Waist-hip ratio adj BMI-smoking status	ANTHROPOMETRIC	anthropometric	adjusted	
PORTAL:0000094	portal	WeightLossRate	Rate of weight loss (kg/week)	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000095	portal	WeightLossTotal	Total weight loss (kg)	ANTHROPOMETRIC	anthropometric	phenotype	
PORTAL:0000096	portal	AF	Atrial fibrillation	ATRIAL_FIBRILLATION	cardiovascular	phenotype	
PORTAL:0000097	portal	AFxAGE	AF-SNP age interaction	ATRIAL_FIBRILLATION	cardiovascular	interaction	
PORTAL:0000098	portal	AFxAGEo65	AF-over age 65	ATRIAL_FIBRILLATION	cardiovascular	subgroup	
PORTAL:0000099	portal	AFxAGEy65	AF-age 65 and under	ATRIAL_FIBRILLATION	cardiovascular	subgroup	
PORTAL:0000100	portal	AFxBMI	AF-SNP BMI interaction	ATRIAL_FIBRILLATION	cardiovascular	interaction	
PORTAL:0000101	portal	AFxHTN	AF-SNP hypertension interaction	ATRIAL_FIBRILLATION	cardiovascular	interaction	
PORTAL:0000102	portal	AFxSEX	AF-SNP sex interaction	ATRIAL_FIBRILLATION	cardiovascular	interaction	
PORTAL:0000103	portal	AIpredictedAF	ECG-AI model predicted atrial fibrillation risk	ATRIAL_FIBRILLATION	cardiovascular	phenotype	
PORTAL:0000104	portal	AfibFlutter	Atrial fibrillation or flutter	ATRIAL_FIBRILLATION	cardiovascular	phenotype	
PORTAL:0000105	portal	BladderCancer	Bladder cancer	CANCER	cancer	disease	
PORTAL:0000106	portal	BreastCancer	Breast cancer	CANCER	cancer	disease	
PORTAL:0000107	portal	Cancer	Any cancer	CANCER	cancer	disease	
PORTAL:0000108	portal	CervicalCancer	Cervical cancer	CANCER	cancer	disease	
PORTAL:0000109	portal	ColonCancer	Colon cancer	CANCER	cancer	disease	
PORTAL:0000110	portal	EndometrialCancer	Endometrial cancer	CANCER	cancer	disease	
PORTAL:0000111	portal	EsoStomachCancer	Esophageal or stomach cancer	CANCER	cancer	disease	
PORTAL:0000112	portal	HCC	Hepatocellular carcinoma	CANCER	cancer	disease	
PORTAL:0000113	portal	KidneyCancer	Kidney cancer	CANCER	cancer	disease	
PORTAL:0000114	portal	LungCancer	Lung cancer	CANCER	cancer	disease	
PORTAL:0000115	portal	LymphLeukemia	Lymphocytic leukemia	CANCER	cancer	phenotype	
PORTAL:0000116	portal	Melanoma	Melanoma	CANCER	cancer	phenotype	
PORTAL:0000117	portal	NonHodgkinsLymphoma	Non-Hodgkin's lymphoma	CANCER	cancer	phenotype	
PORTAL:0000118	portal	OCPCancer	Oral cavity and pharyngeal cancer	CANCER	cancer	disease	
PORTAL:0000119	portal	OvarianCancer	Ovarian cancer	CANCER	cancer	disease	
PORTAL:0000120	portal	PancreaticCancer	Pancreatic cancer	CANCER	cancer	disease	
PORTAL:0000121	portal	ProstateCancer	Prostate cancer	CANCER	cancer	disease	
PORTAL:0000122	portal	RectalCancer	Rectal cancer	CANCER	cancer	disease	
PORTAL:0000123	portal	ThyroidCancer	Thyroid cancer	CANCER	cancer	disease	
PORTAL:0000124	portal	AAC	Abdominal aortic calcification	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000125	portal	AVAP_AVRT	Atrioventricular accessory pathways or atrioventricular reciprocating tachycardia (AVAPs/AVRT)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000126	portal	AVNRT	Atrioventricular nodal reentrant tachycardia (AVNRT)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000127	portal	AbAA	Abdominal aortic aneurysm	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000128	portal	AnyCVD	Any cardiovascular disease (CVD)	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000129	portal	AorticStenosis	Calcific aortic stenosis	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000130	portal	AscAortaDiam	Ascending aorta diameter	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000131	portal	AscAortaDiamInd	Maximum ascending aorta diameter, BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000132	portal	AscAortaDisten	Ascending aorta distensibility	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000133	portal	AscAortaStrain	Ascending aorta strain	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000134	portal	BNP	Brain natriuretic peptide levels	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000135	portal	CAC	Conorary artery calcification	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000136	portal	CAD	Coronary artery disease (CAD)	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000137	portal	CADinNonT2D	Coronary artery disease (CAD) in subjects without diabetes	CARDIOVASCULAR	cardiovascular	stratified	
PORTAL:0000138	portal	CK	Creatine kinase	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000139	portal	CKFrac	Creatine kinase-MB fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000140	portal	CRP	Plasma C-reactive protein	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000141	portal	Cardiomyopathy	Hypertrophic cardiomyopathy	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000142	portal	DBP	Diastolic blood pressure	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000143	portal	DCM	Dilated cardiomyopathy, strict definition	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000144	portal	DCM_broad	Dilated cardiomyopathy, broad definition	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000145	portal	DPAcm	Short-axis diastolic pulmonary artery (cm)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000146	portal	DPAcmInd	Short-axis diastolic pulmonary artery (cm), BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000147	portal	DescAortaDiam	Descending aorta diameter	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000148	portal	DescAortaDisten	Descending aorta distensibility	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000149	portal	DescAortaStrain	Descending aorta strain	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000150	portal	EPATarea	Combined epicardial and pericardial adipose tissue (EPAT) area	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000151	portal	HF	Heart failure	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000152	portal	HR	Heart rate	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000153	portal	HYPERTENSION	Hypertension	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000154	portal	LAAEF	Left atrial active emptying fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000155	portal	LAPEF	Left atrial passive emptying fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000156	portal	LATEF	Left atrial total emptying fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000157	portal	LAmax	Indexed left atrial maximum volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000158	portal	LAmin	Indexed left atrial minimum volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000159	portal	LVEDA	Left ventricular end diastole anterior wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000160	portal	LVEDAL	Left ventricular end diastole anterolateral wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000161	portal	LVEDAS	Left ventricular end diastole anterospetal wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000162	portal	LVEDI	Left ventricular end diastole inferior wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000163	portal	LVEDIL	Left ventricular end diastole inferolateral wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000164	portal	LVEDIS	Left ventricular end diastole inferoseptal wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000165	portal	LVEDV	Left ventricular end-diastolic volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000166	portal	LVEDVI	Left ventricular end-diastolic volume (BSA-indexed)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000167	portal	LVEF	Left ventricular ejection fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000168	portal	LVESA	Left ventricular end systole anterior wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000169	portal	LVESAL	Left ventricular end systole anterolateral wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000170	portal	LVESAS	Left ventricular end systole anterospetal wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000171	portal	LVESI	Left ventricular end systole inferior wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000172	portal	LVESIL	Left ventricular end systole inferolateral wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000173	portal	LVESIS	Left ventricular end systole inferoseptal wall thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000174	portal	LVESV	Left ventricular end-systolic volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000175	portal	LVESVI	Left ventricular end-systolic volume (BSA-indexed)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000176	portal	LVmass	Left ventricular mass	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000177	portal	LVmass-EDVratio	Left ventricular mass to end-diastolic volume ratio	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000178	portal	LVmassBSAindexed	Left ventricular mass, BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000179	portal	MAP	Mean arterial pressure	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000180	portal	MI	Myocardial infarction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000181	portal	MVP	Mitral valve prolapse	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000182	portal	MyocardialT1	Native myocardial T1 time	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000183	portal	NICM	Nonischemic cardiomyopathy	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000184	portal	PAD	Peripheral artery disease	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000185	portal	PAD_eversmk	Peripheral artery disease in ever smokers	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000186	portal	PAD_neversmk	Peripheral artery disease in never smokers	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000187	portal	PADinT2D	Peripheral artery disease in type 2 diabetes (T2D)	CARDIOVASCULAR	cardiovascular	stratified	
PORTAL:0000188	portal	PADnonT2D	Peripheral artery disease in subjects without diabetes	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000189	portal	PAH	Pulmonary arterial hypertension	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000190	portal	PAStraincm	Short-axis pulmonary artery strain (cm)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000191	portal	PAcm	Short-axis pulmonary artery (cm)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000192	portal	PAcmInd	Short-axis pulmonary artery (cm), BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000193	portal	PAtoARdia	Pulmonary artery to aorta ratio, diastole	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000194	portal	PAtoARsys	Pulmonary artery to aorta ratio, systole	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000195	portal	PVD	Peripheral vascular disease	CARDIOVASCULAR	cardiovascular	disease	
PORTAL:0000196	portal	PulmonaryHT	Pulmonary hypertension	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000197	portal	PulsePress	Pulse pressure	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000198	portal	PulseRate	Pulse rate	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000199	portal	RAFAC	Right atrial fractional change	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000200	portal	RAMaxArea	Right atrial maximum area	CARDIOVASCULAR	cardiovascular	interaction	
PORTAL:0000201	portal	RAMaxAreaInd	Right atrial maximum area, BSA indexed	CARDIOVASCULAR	cardiovascular	interaction	
PORTAL:0000202	portal	RAMinArea	Right atrial minimum area	CARDIOVASCULAR	cardiovascular	stratified	
PORTAL:0000203	portal	RAMinAreaInd	Right atrial minimum area, BSA indexed	CARDIOVASCULAR	cardiovascular	stratified	
PORTAL:0000204	portal	RVEDV	Right ventricular end-diastolic volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000205	portal	RVEDVI	Right ventricular end-diastolic volume, BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000206	portal	RVEDVtoLVEDV	Right ventricular end-diastolic volume to left ventricular end-diastolic volume ratio	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000207	portal	RVEF	Right ventricular ejection fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000208	portal	RVEFtoLVEF	Right ventricular ejection fraction to left ventricular ejection fraction ratio	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000209	portal	RVESV	Right ventricular end-systolic volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000210	portal	RVESVI	Right ventricular end-systolic volume, BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000211	portal	RVESVtoLVESV	Right ventricular end-systolic volume to left ventricular end-systolic volume ratio	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000212	portal	RVSV	Right ventricular stroke volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000213	portal	RVSVI	Right ventricular stroke volume, BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000214	portal	RVSVtoLVSV	Right ventricular stroke volume to left ventricular stroke volume ratio	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000215	portal	Rootcm	Short-axis root (cm)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000216	portal	RootcmInd	Short-axis root (cm), BSA indexed	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000217	portal	SBP	Systolic blood pressure	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000218	portal	SCAD	Spontaneous coronary artery dissection	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000219	portal	SVI	Left ventricular stroke volume (BSA-indexed)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000220	portal	SVL	Left ventricular stroke volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000221	portal	ThoracicAA	Thoracic aortic aneurysm	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000222	portal	VaricoseVeins	Varicose veins	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000223	portal	ao_regurgitation_fraction	Aortic regurgitation fraction	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000224	portal	ao_regurgitation_volume	Aortic regurgitation volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000225	portal	aortic_velocity_vmax	Peak forward aortic velocity	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000226	portal	aortic_velocity_vmax_ao_adjusted	Peak forward aortic velocity adj aortic area	CARDIOVASCULAR	cardiovascular	adjusted	
PORTAL:0000227	portal	aortic_velocity_vmin	Peak regurgitant aortic velocity	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000228	portal	cIMT	Carotid intima-media thickness (mean of the maximum cIMT)	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000229	portal	cIMTmax	Maximum carotid intima-media thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000230	portal	cIMTmean	Mean carotid intima-media thickness	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000231	portal	fLVSV	Forward left ventricular stroke volume	CARDIOVASCULAR	cardiovascular	phenotype	
PORTAL:0000232	portal	iaorta_area	BSA-indexed aortic area	CARDIOVASCULAR	cardiovascular	phenotype	
